<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	01:29:00	76868.84	76923.27	76845.86	76869.22	30	0	2987
2025.09.01	01:30:00	76849.60	76857.61	76746.61	76808.07	30	0	2987
2025.09.01	01:31:00	76793.33	76793.33	76673.86	76682.16	30	0	2987
2025.09.01	01:32:00	76692.14	76782.44	76692.14	76723.14	30	0	2987
2025.09.01	01:33:00	76733.05	76733.05	76619.26	76693.91	30	0	2987
2025.09.01	01:34:00	76701.53	76721.20	76641.31	76657.09	30	0	2987
2025.09.01	01:35:00	76633.31	76697.22	76617.64	76625.36	30	0	2987
2025.09.01	01:36:00	76628.14	76632.62	76533.37	76565.01	30	0	2987
2025.09.01	01:37:00	76570.47	76623.35	76519.14	76612.28	30	0	2987
2025.09.01	01:38:00	76611.54	76651.12	76571.83	76586.16	30	0	2987
2025.09.01	01:39:00	76558.87	76558.87	76408.53	76445.29	30	0	2987
2025.09.01	01:40:00	76451.59	76521.66	76443.05	76450.82	30	0	2987
2025.09.01	01:41:00	76462.20	76505.82	76459.31	76496.39	30	0	2987
2025.09.01	01:42:00	76506.82	76632.53	76475.88	76629.31	30	0	2987
2025.09.01	01:43:00	76618.29	76649.71	76504.68	76533.25	30	0	2987
2025.09.01	01:44:00	76515.29	76545.55	76457.65	76467.51	30	0	2987
2025.09.01	01:45:00	76465.21	76484.82	76429.25	76439.13	30	0	2987
2025.09.01	01:46:00	76449.90	76449.90	76383.86	76426.76	30	0	2987
2025.09.01	01:47:00	76403.20	76403.20	76272.87	76318.05	30	0	2987
2025.09.01	01:48:00	76321.29	76427.28	76305.22	76395.67	30	0	2987
2025.09.01	01:49:00	76398.54	76412.29	76318.96	76387.19	30	0	2987
2025.09.01	01:50:00	76373.35	76401.38	76334.30	76334.30	30	0	2987
2025.09.01	01:51:00	76345.85	76402.92	76253.05	76402.92	30	0	2987
2025.09.01	01:52:00	76386.20	76495.45	76371.05	76456.93	30	0	2987
2025.09.01	01:53:00	76456.70	76456.70	76347.14	76362.46	30	0	2987
2025.09.01	01:54:00	76365.55	76396.96	76275.63	76369.20	30	0	2987
2025.09.01	01:55:00	76377.53	76414.44	76309.32	76352.91	30	0	2987
2025.09.01	01:56:00	76339.65	76378.81	76315.07	76360.34	30	0	2987
2025.09.01	01:57:00	76366.76	76450.03	76360.08	76432.38	30	0	2987
2025.09.01	01:58:00	76426.78	76442.60	76367.15	76411.85	30	0	2987
2025.09.01	01:59:00	76395.48	76430.06	76354.93	76378.38	30	0	2987
2025.09.01	02:00:00	76375.15	76448.64	76308.66	76399.88	30	0	2987
2025.09.01	02:01:00	76407.32	76469.68	76388.83	76469.68	30	0	2987
2025.09.01	02:02:00	76486.34	76486.34	76385.64	76414.08	30	0	2987
2025.09.01	02:03:00	76407.29	76486.90	76393.51	76436.93	30	0	2987
2025.09.01	02:04:00	76446.47	76630.06	76445.23	76595.43	30	0	2987
2025.09.01	02:05:00	76607.45	76667.81	76579.68	76630.17	30	0	2987
2025.09.01	02:06:00	76638.43	76718.99	76616.99	76668.63	30	0	2987
2025.09.01	02:07:00	76657.95	76717.41	76632.67	76636.78	30	0	2987
2025.09.01	02:08:00	76662.60	76702.43	76604.38	76688.85	29	0	2987
2025.09.01	02:09:00	76697.10	76708.77	76583.84	76583.84	30	0	2987
2025.09.01	02:10:00	76592.73	76664.02	76475.04	76475.04	30	0	2987
2025.09.01	02:11:00	76476.60	76530.99	76408.10	76503.14	30	0	2987
2025.09.01	02:12:00	76485.05	76569.65	76481.28	76545.60	30	0	2987
2025.09.01	02:13:00	76540.82	76579.94	76508.04	76578.51	30	0	2987
2025.09.01	02:14:00	76581.03	76589.92	76501.09	76578.69	30	0	2987
2025.09.01	02:15:00	76575.87	76607.48	76514.70	76607.48	30	0	2987
2025.09.01	02:16:00	76599.62	76627.32	76574.99	76575.88	30	0	2987
2025.09.01	02:17:00	76572.19	76742.98	76568.60	76702.41	30	0	2987
2025.09.01	02:18:00	76671.61	76671.61	76494.94	76512.21	30	0	2987
2025.09.01	02:19:00	76516.74	76597.13	76515.52	76555.19	30	0	2987
2025.09.01	02:20:00	76569.11	76592.62	76520.61	76567.55	30	0	2987
2025.09.01	02:21:00	76582.35	76614.66	76531.90	76534.18	30	0	2987
2025.09.01	02:22:00	76517.62	76534.01	76421.07	76469.06	30	0	2633
2025.09.01	02:23:00	76467.99	76504.18	76387.55	76387.55	30	0	2633
2025.09.01	02:24:00	76396.44	76401.46	76287.93	76322.82	30	0	2633
2025.09.01	02:25:00	76310.83	76362.90	76259.82	76337.98	30	0	2633
2025.09.01	02:26:00	76353.34	76353.34	76188.49	76207.97	30	0	2633
2025.09.01	02:27:00	76226.34	76329.99	76226.34	76295.79	30	0	2633
2025.09.01	02:28:00	76302.52	76361.18	76294.61	76313.14	30	0	2633
2025.09.01	02:29:00	76314.10	76389.34	76279.02	76386.76	30	0	2633
2025.09.01	02:30:00	76377.23	76377.23	76257.36	76260.89	30	0	2633
2025.09.01	02:31:00	76255.12	76404.11	76255.12	76296.05	30	0	2633
2025.09.01	02:32:00	76273.01	76359.32	76242.23	76349.69	30	0	2633
