timestamp,strategy,zone_type,zone_price,trend,reason
2025-09-25T22:52:00.724856,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T22:52:00.727857,aggressive,supply,69147.33,downtrend,score below threshold (FAST)
2025-09-25T22:53:00.748198,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T22:53:00.751169,aggressive,supply,69147.33,downtrend,score below threshold (FAST)
2025-09-25T22:54:00.815442,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T22:54:00.815442,aggressive,supply,69147.33,downtrend,score below threshold (FAST)
2025-09-25T22:55:00.780362,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T22:55:00.780362,aggressive,supply,69147.33,downtrend,score below threshold (FAST)
2025-09-25T22:56:00.996101,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T22:57:00.850668,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T22:58:00.743347,aggressive,demand,68533.85,downtrend,score below threshold (FAST)
2025-09-25T23:21:00.720743,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
2025-09-25T23:23:00.722142,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
2025-09-25T23:24:02.527561,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
2025-09-25T23:52:00.719676,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:53:00.769992,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:54:00.755850,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:54:00.755850,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
2025-09-25T23:55:00.762279,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:55:00.762279,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
2025-09-25T23:56:00.817884,aggressive,demand,68735.67,downtrend,score below threshold (FAST)
2025-09-25T23:56:00.817884,aggressive,supply,69242.15,downtrend,score below threshold (FAST)
